display_name,name,description,parrent,children
ISO -> 11 -> 11.040 -> 11.040.99,11.040.99,Other medical equipment,ISO -> 11 -> 11.040,
ISO -> 11 -> 11.060,11.060,Dentistry,ISO -> 11,ISO -> 11 -> 11.060 -> 11.060.01
,,,,ISO -> 11 -> 11.060 -> 11.060.10
,,,,ISO -> 11 -> 11.060 -> 11.060.15
,,,,ISO -> 11 -> 11.060 -> 11.060.20
,,,,ISO -> 11 -> 11.060 -> 11.060.25
ISO -> 11 -> 11.060 -> 11.060.01,11.060.01,Dentistry in general,ISO -> 11 -> 11.060,
ISO -> 11 -> 11.060 -> 11.060.10,11.060.10,Dental materials,ISO -> 11 -> 11.060,
ISO -> 11 -> 11.060 -> 11.060.15,11.060.15,Dental implantsIncluding dentures,ISO -> 11 -> 11.060,
ISO -> 11 -> 11.060 -> 11.060.20,11.060.20,"Dental equipmentDental radiographic films, see37.040.25Toothbrushes and dental floss, see97.170",ISO -> 11 -> 11.060,
ISO -> 11 -> 11.060 -> 11.060.25,11.060.25,Dental instruments,ISO -> 11 -> 11.060,
ISO -> 11 -> 11.080,11.080,Sterilization and disinfection,ISO -> 11,ISO -> 11 -> 11.080 -> 11.080.01
,,,,ISO -> 11 -> 11.080 -> 11.080.10
,,,,ISO -> 11 -> 11.080 -> 11.080.20
,,,,ISO -> 11 -> 11.080 -> 11.080.30
ISO -> 11 -> 11.080 -> 11.080.01,11.080.01,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",ISO -> 11 -> 11.080,
ISO -> 11 -> 11.080 -> 11.080.10,11.080.10,Sterilizing equipment,ISO -> 11 -> 11.080,
ISO -> 11 -> 11.080 -> 11.080.20,11.080.20,"Disinfectants and antisepticsIncluding indicatorsChemicals for industrial and domestic disinfection purposes, see71.100.35",ISO -> 11 -> 11.080,
ISO -> 11 -> 11.080 -> 11.080.30,11.080.30,Sterilized packaging,ISO -> 11 -> 11.080,
ISO -> 11 -> 11.100,11.100,Laboratory medicine,ISO -> 11,ISO -> 11 -> 11.100 -> 11.100.01
,,,,ISO -> 11 -> 11.100 -> 11.100.10
,,,,ISO -> 11 -> 11.100 -> 11.100.20
,,,,ISO -> 11 -> 11.100 -> 11.100.30
,,,,ISO -> 11 -> 11.100 -> 11.100.99
ISO -> 11 -> 11.100 -> 11.100.01,11.100.01,Laboratory medicine in general,ISO -> 11 -> 11.100,
ISO -> 11 -> 11.100 -> 11.100.10,11.100.10,In vitro diagnostic test systems,ISO -> 11 -> 11.100,
ISO -> 11 -> 11.100 -> 11.100.20,11.100.20,"Biological evaluation of medical devicesMedical microbiology, see07.100.10",ISO -> 11 -> 11.100,
ISO -> 11 -> 11.100 -> 11.100.30,11.100.30,Analysis of blood and urineIncluding doping control,ISO -> 11 -> 11.100,
ISO -> 11 -> 11.100 -> 11.100.99,11.100.99,Other standards related to laboratory medicine,ISO -> 11 -> 11.100,
ISO -> 11 -> 11.120,11.120,Pharmaceutics,ISO -> 11,ISO -> 11 -> 11.120 -> 11.120.01
,,,,ISO -> 11 -> 11.120 -> 11.120.10
,,,,ISO -> 11 -> 11.120 -> 11.120.99
ISO -> 11 -> 11.120 -> 11.120.01,11.120.01,Pharmaceutics in general,ISO -> 11 -> 11.120,
ISO -> 11 -> 11.120 -> 11.120.10,11.120.10,MedicamentsIncluding medical prescriptions and medicinal herbs,ISO -> 11 -> 11.120,
ISO -> 11 -> 11.120 -> 11.120.99,11.120.99,Other standards related to pharmaceuticsIncluding equipment for pharmaceutical industry,ISO -> 11 -> 11.120,
ISO -> 11 -> 11.140,11.140,"Hospital equipmentIncluding hospital beds, surgical tables, medical garments, medical gloves, containers for sharp disposal, etc.",ISO -> 11,
ISO -> 11 -> 11.160,11.160,"First aidIncluding kits, equipment, facilities and medical transport for first aid",ISO -> 11,
ISO -> 11 -> 11.180,11.180,Aids for disabled or handicapped personsIncluding aids for elderly people,ISO -> 11,ISO -> 11 -> 11.180 -> 11.180.01
,,,,ISO -> 11 -> 11.180 -> 11.180.10
,,,,ISO -> 11 -> 11.180 -> 11.180.15
,,,,ISO -> 11 -> 11.180 -> 11.180.20
,,,,ISO -> 11 -> 11.180 -> 11.180.30
,,,,ISO -> 11 -> 11.180 -> 11.180.99
ISO -> 11 -> 11.180 -> 11.180.01,11.180.01,Aids for disabled and handicapped persons in general,ISO -> 11 -> 11.180,
ISO -> 11 -> 11.180 -> 11.180.10,11.180.10,"Aids and adaptation for movingIncluding wheelchairs, walking sticks and lifting platforms",ISO -> 11 -> 11.180,
ISO -> 11 -> 11.180 -> 11.180.15,11.180.15,Aids for deaf and hearing impaired people,ISO -> 11 -> 11.180,
ISO -> 11 -> 11.180 -> 11.180.20,11.180.20,Aids for incontinence and ostomy,ISO -> 11 -> 11.180,
ISO -> 11 -> 11.180 -> 11.180.30,11.180.30,"Aids for blind or partially sighted peopleIncluding BrailleGlasses, contact lenses and their cleaning products, see11.040.70",ISO -> 11 -> 11.180,
ISO -> 11 -> 11.180 -> 11.180.99,11.180.99,Other standards related to aids for disabled and handicapped people,ISO -> 11 -> 11.180,
ISO -> 11 -> 11.200,11.200,Birth control. Mechanical contraceptives,ISO -> 11,
ISO -> 13,13,Environment. Health protection. Safety,ISO,ISO -> 13 -> 13.020
,,,,ISO -> 13 -> 13.030
,,,,ISO -> 13 -> 13.040
,,,,ISO -> 13 -> 13.060
,,,,ISO -> 13 -> 13.080
,,,,ISO -> 13 -> 13.100
,,,,ISO -> 13 -> 13.110
,,,,ISO -> 13 -> 13.120
,,,,ISO -> 13 -> 13.140
,,,,ISO -> 13 -> 13.160
,,,,ISO -> 13 -> 13.180
,,,,ISO -> 13 -> 13.200
,,,,ISO -> 13 -> 13.220
,,,,ISO -> 13 -> 13.230
,,,,ISO -> 13 -> 13.240
,,,,ISO -> 13 -> 13.280
,,,,ISO -> 13 -> 13.300
,,,,ISO -> 13 -> 13.310
,,,,ISO -> 13 -> 13.320
,,,,ISO -> 13 -> 13.340
ISO -> 13 -> 13.020,13.020,"Environmental protectionEnergy efficiency, see27.015",ISO -> 13,ISO -> 13 -> 13.020 -> 13.020.01
,,,,ISO -> 13 -> 13.020 -> 13.020.10
,,,,ISO -> 13 -> 13.020 -> 13.020.20
,,,,ISO -> 13 -> 13.020 -> 13.020.30
,,,,ISO -> 13 -> 13.020 -> 13.020.40
,,,,ISO -> 13 -> 13.020 -> 13.020.50
,,,,ISO -> 13 -> 13.020 -> 13.020.60
,,,,ISO -> 13 -> 13.020 -> 13.020.99
ISO -> 13 -> 13.020 -> 13.020.01,13.020.01,Environment and environmental protection in general,ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.10,13.020.10,"Environmental managementIncluding certification and auditEnvironmental management systems (EMS), see03.100.70",ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.20,13.020.20,"Environmental economics. SustainabilityIncluding responsible sourcing, procurement, sustainable development, sustainable events management, sustainable communities, smart urban infrastructure, biodiversity",ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.30,13.020.30,Environmental impact assessmentIncluding environmental risk management,ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.40,13.020.40,"Pollution, pollution control and conservationIncluding ecotoxicology and greenhouse gas emissions",ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.50,13.020.50,Ecolabelling,ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.60,13.020.60,"Product life-cyclesIncluding environmental footprint, carbon neutrality",ISO -> 13 -> 13.020,
ISO -> 13 -> 13.020 -> 13.020.99,13.020.99,Other standards related to environmental protection,ISO -> 13 -> 13.020,
ISO -> 13 -> 13.030,13.030,Wastes,ISO -> 13,ISO -> 13 -> 13.030 -> 13.030.01
,,,,ISO -> 13 -> 13.030 -> 13.030.10
,,,,ISO -> 13 -> 13.030 -> 13.030.20
,,,,ISO -> 13 -> 13.030 -> 13.030.30
,,,,ISO -> 13 -> 13.030 -> 13.030.40
,,,,ISO -> 13 -> 13.030 -> 13.030.50
,,,,ISO -> 13 -> 13.030 -> 13.030.99
ISO -> 13 -> 13.030 -> 13.030.01,13.030.01,Wastes in general,ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.10,13.030.10,Solid wastes,ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.20,13.030.20,"Liquid wastes. SludgeSewage water disposal and treatment, see13.060.30",ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.30,13.030.30,"Special wastesIncluding radioactive wastes, hospital wastes, carcasses, electrical, electronic equipment and other hazardous wastes",ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.40,13.030.40,"Installations and equipment for waste disposal and treatmentIncluding street cleaning equipment, waste containers, incineration and compaction equipment, equipment for dumping of refuse, landfill sites, etc.Waste collection vehicles, see43.160Waste chutes, see91.140.70Food waste disposal units, see97.040.50",ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.50,13.030.50,"RecyclingIncluding relevant equipmentMotor vehicle recycling, see43.020",ISO -> 13 -> 13.030,
ISO -> 13 -> 13.030 -> 13.030.99,13.030.99,Other standards related to wastesIncluding waste prevention,ISO -> 13 -> 13.030,
ISO -> 13 -> 13.040,13.040,Air quality,ISO -> 13,ISO -> 13 -> 13.040 -> 13.040.01
,,,,ISO -> 13 -> 13.040 -> 13.040.20
,,,,ISO -> 13 -> 13.040 -> 13.040.30
,,,,ISO -> 13 -> 13.040 -> 13.040.35
,,,,ISO -> 13 -> 13.040 -> 13.040.40
,,,,ISO -> 13 -> 13.040 -> 13.040.50
,,,,ISO -> 13 -> 13.040 -> 13.040.99
ISO -> 13 -> 13.040 -> 13.040.01,13.040.01,Air quality in general,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.20,13.040.20,Ambient atmospheresIncluding indoor air,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.30,13.040.30,"Workplace atmospheresAir quality of surgery rooms, see11.080.01",ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.35,13.040.35,Cleanrooms and associated controlled environments,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.40,13.040.40,Stationary source emissions,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.50,13.040.50,Transport exhaust emissions,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.040 -> 13.040.99,13.040.99,Other standards related to air quality,ISO -> 13 -> 13.040,
ISO -> 13 -> 13.060,13.060,"Water qualityIncluding toxicity, biodegradability, protection against pollution, related installations and equipment",ISO -> 13,ISO -> 13 -> 13.060 -> 13.060.01
,,,,ISO -> 13 -> 13.060 -> 13.060.10
,,,,ISO -> 13 -> 13.060 -> 13.060.20
,,,,ISO -> 13 -> 13.060 -> 13.060.25
,,,,ISO -> 13 -> 13.060 -> 13.060.30
,,,,ISO -> 13 -> 13.060 -> 13.060.45
,,,,ISO -> 13 -> 13.060 -> 13.060.50
,,,,ISO -> 13 -> 13.060 -> 13.060.60
,,,,ISO -> 13 -> 13.060 -> 13.060.70
,,,,ISO -> 13 -> 13.060 -> 13.060.99
ISO -> 13 -> 13.060 -> 13.060.01,13.060.01,Water quality in general,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.10,13.060.10,Water of natural resources,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.20,13.060.20,"Drinking waterMineral water, see67.160.20Chemicals for purification of water, see71.100.80Drinking water supply systems, see91.140.60",ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.25,13.060.25,"Water for industrial useIncluding water for commercial use: for swimming pools, fish breeding, etc.",ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.30,13.060.30,"Sewage waterIncluding sewage water disposal and treatmentLiquid wastes, see13.030.20Drainage systems, see91.140.80Sewage systems, see93.030",ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.45,13.060.45,Examination of water in generalIncluding sampling,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.50,13.060.50,Examination of water for chemical substances,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.60,13.060.60,Examination of physical properties of water,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.70,13.060.70,"Examination of biological properties of waterMicrobiology of water, see07.100.20",ISO -> 13 -> 13.060,
ISO -> 13 -> 13.060 -> 13.060.99,13.060.99,Other standards related to water quality,ISO -> 13 -> 13.060,
ISO -> 13 -> 13.080,13.080,"Soil quality. PedologySoil properties related to geotechnics, see93.020",ISO -> 13,ISO -> 13 -> 13.080 -> 13.080.01
,,,,ISO -> 13 -> 13.080 -> 13.080.05
,,,,ISO -> 13 -> 13.080 -> 13.080.10
,,,,ISO -> 13 -> 13.080 -> 13.080.20
,,,,ISO -> 13 -> 13.080 -> 13.080.30
,,,,ISO -> 13 -> 13.080 -> 13.080.40
,,,,ISO -> 13 -> 13.080 -> 13.080.99
ISO -> 13 -> 13.080 -> 13.080.01,13.080.01,"Soil quality and pedology in generalIncluding pollution, erosion, degradation, etc.",ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.05,13.080.05,Examination of soils in generalIncluding sampling,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.10,13.080.10,Chemical characteristics of soils,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.20,13.080.20,Physical properties of soils,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.30,13.080.30,Biological properties of soils,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.40,13.080.40,Hydrological properties of soils,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.080 -> 13.080.99,13.080.99,Other standards related to soil qualityIncluding agricultural aspects related to soils and re-use of soil materials,ISO -> 13 -> 13.080,
ISO -> 13 -> 13.100,13.100,"Occupational safety. Industrial hygieneProtective clothing and equipment, see13.340Workplace lighting, see91.160.10",ISO -> 13,
ISO -> 13 -> 13.110,13.110,Safety of machinery,ISO -> 13,
ISO -> 13 -> 13.120,13.120,"Domestic safetyChild safety, see97.190Safety of toys, see97.200.50",ISO -> 13,
ISO -> 13 -> 13.140,13.140,"Noise with respect to human beingsIncluding audiometryHearing protectors, see13.340.20Acoustics and acoustic measurements, see17.140",ISO -> 13,
ISO -> 13 -> 13.160,13.160,"Vibration and shock with respect to human beingsVibrations, shock and vibration measurements, see17.160",ISO -> 13,
ISO -> 13 -> 13.180,13.180,Ergonomics,ISO -> 13,
ISO -> 13 -> 13.200,13.200,"Accident and disaster controlIncluding emergency evacuations and emergency control systemsSeismic and vibration protection of buildings, see91.120.25",ISO -> 13,
ISO -> 13 -> 13.220,13.220,Protection against fire,ISO -> 13,ISO -> 13 -> 13.220 -> 13.220.01
,,,,ISO -> 13 -> 13.220 -> 13.220.10
,,,,ISO -> 13 -> 13.220 -> 13.220.20
,,,,ISO -> 13 -> 13.220 -> 13.220.40
,,,,ISO -> 13 -> 13.220 -> 13.220.50
,,,,ISO -> 13 -> 13.220 -> 13.220.99
ISO -> 13 -> 13.220 -> 13.220.01,13.220.01,Protection against fire in generalIncluding fire safety,ISO -> 13 -> 13.220,
ISO -> 13 -> 13.220 -> 13.220.10,13.220.10,"Fire-fightingIncluding equipment and vehiclesFlameproof clothing, see13.340.10",ISO -> 13 -> 13.220,
ISO -> 13 -> 13.220 -> 13.220.20,13.220.20,Fire protectionIncluding equipment,ISO -> 13 -> 13.220,
ISO -> 13 -> 13.220 -> 13.220.40,13.220.40,Ignitability and burning behaviour of materials and products,ISO -> 13 -> 13.220,
ISO -> 13 -> 13.220 -> 13.220.50,13.220.50,Fire-resistance of building materials and elements,ISO -> 13 -> 13.220,
ISO -> 13 -> 13.220 -> 13.220.99,13.220.99,Other standards related to protection against fire,ISO -> 13 -> 13.220,
ISO -> 13 -> 13.230,13.230,"Explosion protectionElectrical apparatus for explosive atmospheres, see29.260.20Explosives and pyrotechnics, see71.100.30",ISO -> 13,
ISO -> 13 -> 13.240,13.240,"Protection against excessive pressureIncluding safety valves, bursting disc devices, etc.",ISO -> 13,
ISO -> 13 -> 13.280,13.280,"Radiation protectionIncluding protection against radio-frequency radiationRadiation measurements, see17.240",ISO -> 13,
ISO -> 13 -> 13.300,13.300,"Protection against dangerous goodsIncluding performance requirements for dangerous goods, their handling, storage, transportation, marking, labelling, etc.Nuclear fissile materials, see27.120.30Explosives, see71.100.30",ISO -> 13,
ISO -> 13 -> 13.310,13.310,"Protection against crimeIncluding security services, security procedures, burglar alarm devices, burglary resisting materials and equipment, bullet resisting materials and equipment, anti-theft devices for vehicles, safes, strong rooms, etc.",ISO -> 13,
ISO -> 13 -> 13.320,13.320,"Alarm and warning systemsBurglar alarm and warning systems, see13.310Warning devices for road vehicles, see43.040.20",ISO -> 13,
ISO -> 13 -> 13.340,13.340,"Protective equipmentOccupational safety, see13.100",ISO -> 13,ISO -> 13 -> 13.340 -> 13.340.01
,,,,ISO -> 13 -> 13.340 -> 13.340.10
,,,,ISO -> 13 -> 13.340 -> 13.340.20
,,,,ISO -> 13 -> 13.340 -> 13.340.30
,,,,ISO -> 13 -> 13.340 -> 13.340.40
,,,,ISO -> 13 -> 13.340 -> 13.340.50
,,,,ISO -> 13 -> 13.340 -> 13.340.60
,,,,ISO -> 13 -> 13.340 -> 13.340.70
,,,,ISO -> 13 -> 13.340 -> 13.340.99
ISO -> 13 -> 13.340 -> 13.340.01,13.340.01,Protective equipment in general,ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.10,13.340.10,Protective clothingIncluding flameproof clothing,ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.20,13.340.20,"Head protective equipmentIncluding helmets, eye-protectors, hearing protectors, ear muffs, teeth protectors and hoods.",ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.30,13.340.30,Respiratory protective devices,ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.40,13.340.40,"Hand and arm protectionIncluding protective gloves, sleeves and mitsMedical gloves, see11.140",ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.50,13.340.50,Leg and foot protectionIncluding safety boots and shoes,ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.60,13.340.60,"Protection against falling and slippingIncluding safety ropes, harnesses and fall arrestorsMountaineering equipment, see97.220.40",ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.70,13.340.70,"Lifejackets, buoyancy aids and flotation devices",ISO -> 13 -> 13.340,
ISO -> 13 -> 13.340 -> 13.340.99,13.340.99,Other protective equipment,ISO -> 13 -> 13.340,
ISO -> 17,17,Metrology and measurement. Physical phenomena,ISO,ISO -> 17 -> 17.020
,,,,ISO -> 17 -> 17.040
,,,,ISO -> 17 -> 17.060
,,,,ISO -> 17 -> 17.080
,,,,ISO -> 17 -> 17.120
,,,,ISO -> 17 -> 17.140
,,,,ISO -> 17 -> 17.160
,,,,ISO -> 17 -> 17.180
,,,,ISO -> 17 -> 17.200
,,,,ISO -> 17 -> 17.220
,,,,ISO -> 17 -> 17.240
ISO -> 17 -> 17.020,17.020,"Metrology and measurement in generalIncluding measuring instruments in general, preferred numbers, standard measures, general aspects of reference materials, etc.Quantities and units, see01.060Chemical reference materials, see71.040.30",ISO -> 17,
ISO -> 17 -> 17.040,17.040,Linear and angular measurements,ISO -> 17,ISO -> 17 -> 17.040 -> 17.040.01
,,,,ISO -> 17 -> 17.040 -> 17.040.10
,,,,ISO -> 17 -> 17.040 -> 17.040.20
,,,,ISO -> 17 -> 17.040 -> 17.040.30
,,,,ISO -> 17 -> 17.040 -> 17.040.40
ISO -> 17 -> 17.040 -> 17.040.01,17.040.01,Linear and angular measurements in general,ISO -> 17 -> 17.040,
ISO -> 17 -> 17.040 -> 17.040.10,17.040.10,Limits and fits,ISO -> 17 -> 17.040,
ISO -> 17 -> 17.040 -> 17.040.20,17.040.20,Properties of surfaces,ISO -> 17 -> 17.040,
ISO -> 17 -> 17.040 -> 17.040.30,17.040.30,Measuring instruments,ISO -> 17 -> 17.040,
ISO -> 17 -> 17.040 -> 17.040.40,17.040.40,Geometrical Product Specification (GPS),ISO -> 17 -> 17.040,
ISO -> 17 -> 17.060,17.060,"Measurement of volume, mass, density, viscosityIncluding measuring instrumentsVolumetric measurements of petroleum products and natural gas, see75.180.30",ISO -> 17,
ISO -> 17 -> 17.080,17.080,"Measurement of time, velocity, acceleration, angular velocityIncluding measuring instrumentsTime-measuring instruments, see39.040",ISO -> 17,
ISO -> 17 -> 17.120,17.120,Measurement of fluid flowIncluding measuring instruments and installations,ISO -> 17,ISO -> 17 -> 17.120 -> 17.120.01
,,,,ISO -> 17 -> 17.120 -> 17.120.10
,,,,ISO -> 17 -> 17.120 -> 17.120.20
ISO -> 17 -> 17.120 -> 17.120.01,17.120.01,Measurement of fluid flow in general,ISO -> 17 -> 17.120,
ISO -> 17 -> 17.120 -> 17.120.10,17.120.10,"Flow in closed conduitsGas meters in buildings, see91.140.40Water meters in buildings, see91.140.60",ISO -> 17 -> 17.120,
ISO -> 17 -> 17.120 -> 17.120.20,17.120.20,Flow in open channelsIncluding hydrometric determinations,ISO -> 17 -> 17.120,
ISO -> 17 -> 17.140,17.140,"Acoustics and acoustic measurementsIncluding measuring instruments and testing equipmentNoise with respect to human beings, see13.140Acoustics in building, see91.120.20",ISO -> 17,ISO -> 17 -> 17.140 -> 17.140.01
,,,,ISO -> 17 -> 17.140 -> 17.140.20
,,,,ISO -> 17 -> 17.140 -> 17.140.30
,,,,ISO -> 17 -> 17.140 -> 17.140.50
,,,,ISO -> 17 -> 17.140 -> 17.140.99
ISO -> 17 -> 17.140 -> 17.140.01,17.140.01,Acoustic measurements and noise abatement in generalIncluding acoustic insulation,ISO -> 17 -> 17.140,
ISO -> 17 -> 17.140 -> 17.140.20,17.140.20,Noise emitted by machines and equipment,ISO -> 17 -> 17.140,
ISO -> 17 -> 17.140 -> 17.140.30,17.140.30,"Noise emitted by means of transportIncluding road noise, railway noise, harbour noise and airport noise",ISO -> 17 -> 17.140,
ISO -> 17 -> 17.140 -> 17.140.50,17.140.50,ElectroacousticsIncluding sound level meters,ISO -> 17 -> 17.140,
ISO -> 17 -> 17.140 -> 17.140.99,17.140.99,Other standards related to acoustics,ISO -> 17 -> 17.140,
ISO -> 17 -> 17.160,17.160,"Vibrations, shock and vibration measurementsIncluding measuring instruments and installationsVibration and shock with respect to human beings, see13.160Balancing and balancing machines, see21.120.40Vibration protection of buildings, see91.120.25",ISO -> 17,
ISO -> 17 -> 17.180,17.180,Optics and optical measurements,ISO -> 17,ISO -> 17 -> 17.180 -> 17.180.01
,,,,ISO -> 17 -> 17.180 -> 17.180.20
,,,,ISO -> 17 -> 17.180 -> 17.180.30
ISO -> 17 -> 17.180 -> 17.180.01,17.180.01,Optics and optical measurements in general,ISO -> 17 -> 17.180,
ISO -> 17 -> 17.180 -> 17.180.20,17.180.20,Colours and measurement of light,ISO -> 17 -> 17.180,
ISO -> 17 -> 17.180 -> 17.180.30,17.180.30,"Optical measuring instrumentsIncluding spectroscopes, geodetic instruments, etc.Ophthalmic optics and instruments, see11.040.70Laser equipment, see31.260Fibre optics, see33.180Optical equipment, materials and components, see37.020Photographic equipment lenses, see37.040.10",ISO -> 17 -> 17.180,
ISO -> 17 -> 17.200,17.200,Thermodynamics and temperature measurements,ISO -> 17,ISO -> 17 -> 17.200 -> 17.200.20
ISO -> 17 -> 17.200 -> 17.200.20,17.200.20,"Temperature-measuring instrumentsIncluding thermostatsMedical thermometers, see11.040.55",ISO -> 17 -> 17.200,
ISO -> 17 -> 17.220,17.220,Electricity. Magnetism. Electrical and magnetic measurements,ISO -> 17,
ISO -> 17 -> 17.240,17.240,"Radiation measurementsIncluding dosimetryRadiation protection, see13.280",ISO -> 17,
ISO -> 19,19,Testing,ISO,ISO -> 19 -> 19.020
,,,,ISO -> 19 -> 19.040
,,,,ISO -> 19 -> 19.060
,,,,ISO -> 19 -> 19.080
,,,,ISO -> 19 -> 19.100
,,,,ISO -> 19 -> 19.120
ISO -> 19 -> 19.020,19.020,Test conditions and procedures in general,ISO -> 19,
ISO -> 19 -> 19.040,19.040,Environmental testingIncluding testing equipment,ISO -> 19,
ISO -> 19 -> 19.060,19.060,"Mechanical testingIncluding testing equipmentMechanical testing of metals, see77.040.10",ISO -> 19,
ISO -> 19 -> 19.080,19.080,"Electrical and electronic testingIncluding testing equipmentEquipment for measuring electrical and magnetic quantities, see17.220.20",ISO -> 19,
ISO -> 19 -> 19.100,19.100,"Non-destructive testingIncluding testing equipment: industrial apparatus for X-ray and gamma radiography, penetrant flaw detectors, etc.Non-destructive testing of welded joints, see25.160.40Industrial radiographic films, see37.040.25Non-destructive testing of metals, see77.040.20",ISO -> 19,
ISO -> 19 -> 19.120,19.120,Particle size analysis. SievingIncluding test sieves and porosimetry,ISO -> 19,
ISO -> 21,21,Mechanical systems and components for general use,ISO,ISO -> 21 -> 21.020
,,,,ISO -> 21 -> 21.040
,,,,ISO -> 21 -> 21.060
,,,,ISO -> 21 -> 21.100
,,,,ISO -> 21 -> 21.120
,,,,ISO -> 21 -> 21.140
,,,,ISO -> 21 -> 21.160
,,,,ISO -> 21 -> 21.200
,,,,ISO -> 21 -> 21.220
,,,,ISO -> 21 -> 21.240
ISO -> 21 -> 21.020,21.020,"Characteristics and design of machines, apparatus, equipmentIncluding reliability, dependability, maintainability, durability, etc.Safety of machinery, see13.110",ISO -> 21,
ISO -> 21 -> 21.040,21.040,"Screw threadsScrew threads for aerospace construction, see49.030.10",ISO -> 21,ISO -> 21 -> 21.040 -> 21.040.01
,,,,ISO -> 21 -> 21.040 -> 21.040.10
,,,,ISO -> 21 -> 21.040 -> 21.040.20
,,,,ISO -> 21 -> 21.040 -> 21.040.30
ISO -> 21 -> 21.040 -> 21.040.01,21.040.01,Screw threads in general,ISO -> 21 -> 21.040,
ISO -> 21 -> 21.040 -> 21.040.10,21.040.10,Metric screw threads,ISO -> 21 -> 21.040,
ISO -> 21 -> 21.040 -> 21.040.20,21.040.20,"Inch screw threadsIncluding Whitworth screw threadsPipe threads, see21.040.30",ISO -> 21 -> 21.040,
ISO -> 21 -> 21.040 -> 21.040.30,21.040.30,"Special screw threadsIncluding miniature screw threads, pipe threads, etc.",ISO -> 21 -> 21.040,
ISO -> 21 -> 21.060,21.060,"FastenersFasteners related to surgery, prosthetics and orthotics, see11.040.40Fasteners for aerospace construction, see49.030",ISO -> 21,ISO -> 21 -> 21.060 -> 21.060.01
,,,,ISO -> 21 -> 21.060 -> 21.060.10
,,,,ISO -> 21 -> 21.060 -> 21.060.20
,,,,ISO -> 21 -> 21.060 -> 21.060.30
,,,,ISO -> 21 -> 21.060 -> 21.060.40
,,,,ISO -> 21 -> 21.060 -> 21.060.50
,,,,ISO -> 21 -> 21.060 -> 21.060.99
ISO -> 21 -> 21.060 -> 21.060.01,21.060.01,Fasteners in general,ISO -> 21 -> 21.060,
ISO -> 21 -> 21.060 -> 21.060.10,21.060.10,"Bolts, screws, studs",ISO -> 21 -> 21.060,
ISO -> 21 -> 21.060 -> 21.060.20,21.060.20,Nuts,ISO -> 21 -> 21.060,
ISO -> 21 -> 21.060 -> 21.060.30,21.060.30,"Washers, locking elements",ISO -> 21 -> 21.060,
ISO -> 21 -> 21.060 -> 21.060.40,21.060.40,Rivets,ISO -> 21 -> 21.060,
ISO -> 21 -> 21.060 -> 21.060.50,21.060.50,"Pins, nails",ISO -> 21 -> 21.060,
